Manufacturer,Model,Year,Fuel Type,Body Type,Seating Capacity,Ground Clearance,Ground Clearance (range),Average Price (0-20k km),Average Price (20k-50k km),Average Price (50k-100k km),Average Price (100k+ km)
Audi,q3 s-line tfsi,2023,Petrol,suv/suv sportback,5,200.0,,34500000.0,,,
Audi,q4,2024,Electric,suv/suv sportsback,5,,,39500000.0,,,
Audi,q4 e-tron s-line,2023,Electric,suv/suv sportback,5,200.0,,38950000.0,,,
Audi,q4 e-tron s-line sports back,2024,Electric,suv/suv sportback,5,200.0,,42000000.0,,,
Audi,q4 etron 40,2024,Electric,suv/suv sportback,5,,,37950000.0,,,
Audi,q4 etron 40,2023,Electric,suv/suv sportback,5,,,,36000000.0,,
Audi,q5 quattro,2015,Petrol,suv/suv sportback,5,200.0,,,,22500000.0,
Audi,q5 s-line quattro tfsi,2012,Petrol,suv/suv sportback,5,200.0,,,,16450000.0,
Audi,q7 platinum edition,2025,Petrol,suv,7,200.0,,73000000.0,,,
Audi,q7 quattro,2025,Petrol,suv,7,200.0,,75000000.0,,35825000.0,25250000.0
Audi,q7 quattro,2017,Petrol,suv,7,200.0,,75000000.0,,35825000.0,25250000.0
Audi,q7 quattro,2016,Petrol,suv,7,200.0,,75000000.0,,35825000.0,25250000.0
Audi,q7 quattro,2011,Petrol,suv,7,200.0,,75000000.0,,35825000.0,25250000.0
Audi,q7 quattro tfsi,2016,Petrol,suv,7,200.0,,,,38500000.0,
Audi,q7 s-line v6,2017,Petrol,suv,7,200.0,,,,35000000.0,
Audi,q7 tfsi 40 quattro,2016,Petrol,suv,7,200.0,,,,32500000.0,
BMW,218i gran m-sport,2024,Petrol,coupe,5,,,30750000.0,,,
BMW,218i gran m-sport,2023,Petrol,coupe,5,,,29500000.0,,,
BMW,218i m-sport,2023,Petrol,coupe,5,,,30000000.0,30000000.0,,
BMW,316i,2015,Petrol,sedan,5,,,,,16800000.0,18250000.0
BMW,318i,2020,Petrol,sedan,5,,,,22800000.0,22425000.0,21250000.0
BMW,318i,2018,Petrol,sedan,5,,,,22800000.0,22425000.0,21250000.0
BMW,318i,2017,Petrol,sedan,5,,,,22800000.0,22425000.0,21250000.0
BMW,318i,2016,Petrol,sedan,5,,,,22800000.0,22425000.0,21250000.0
BMW,318i f-30 m-sport,2018,Petrol,seden,5,,,,,22500000.0,
BMW,318i f-80 m-sport,2016,Petrol,seden,5,,,,,,18900000.0
BMW,318i m sport plus,2018,Petrol,seden,5,,,,,23500000.0,
BMW,318i m-sport,2019,Petrol,seden,5,,,,25975000.0,,
BMW,318i m-sport,2018,Petrol,seden,5,,,,22990000.0,20600000.0,
BMW,318i m-sport,2017,Petrol,seden,5,,,,22990000.0,20600000.0,
BMW,318i shadow edition,2018,Petrol,seden,5,,,,,,23500000.0
BMW,320d,2014,Diesel,sedan,5,,,,,,24800000.0
BMW,320d,2013,Diesel,sedan,5,,,,,17700000.0,14300000.0
BMW,320d,2012,Diesel,sedan,5,,,,,17700000.0,14300000.0
BMW,320d,2011,Diesel,sedan,5,,,,,15000000.0,
BMW,320d e-90,2012,Diesel,seden,5,,,,,,12990000.0
BMW,320d f-30,2013,Diesel,seden,5,,,,,,17000000.0
BMW,320d m-sport,2013,Diesel,seden,5,,,,,23500000.0,
BMW,430i gran m-sport,2017,Petrol,coupe/gran coupe,5,,,,35000000.0,,
BMW,520d,2016,Diesel,sedan/touring,5,,,,,20392857.0,22304500.0
BMW,520d,2015,Diesel,sedan/touring,5,,,,,20392857.0,22304500.0
BMW,520d,2014,Diesel,sedan/touring,5,,,,,20392857.0,22304500.0
BMW,520d,2013,Diesel,sedan/touring,5,,,,,20392857.0,22304500.0
BMW,520d,2012,Diesel,sedan/touring,5,,,,,20392857.0,22304500.0
BMW,520d,2011,Diesel,sedan/touring,5,,,,,20392857.0,22304500.0
BMW,520d f-10,2015,Diesel,seden/touring,5,,,,,24675000.0,22925000.0
BMW,520d f-10,2013,Diesel,seden/touring,5,,,,,24675000.0,22925000.0
BMW,520d f-10,2012,Diesel,seden/touring,5,,,,,,23750000.0
BMW,520d gt,2013,Diesel,hatchback,5,,,,,24500000.0,
BMW,520d gt m-sport,2015,Diesel,hatchback,5,,,,26800000.0,,
BMW,520d lci,2015,Diesel,seden/touring,5,,,,,27500000.0,
BMW,520d m-sport,2019,Diesel,seden/touring,5,,,,37750000.0,,20350000.0
BMW,520d m-sport,2015,Diesel,seden/touring,5,,,,37750000.0,,20350000.0
BMW,520d m-sport,2013,Diesel,seden/touring,5,,,,,,20800000.0
BMW,520d m-sport,2012,Diesel,seden/touring,5,,,,37750000.0,,20350000.0
BMW,520d twin,2013,Diesel,seden/touring,5,,,,,,22850000.0
BMW,520d twin,2012,Diesel,seden/touring,5,,,,,,22850000.0
BMW,520i m-sport,2012,Petrol,seden/touring,5,,,,,16050000.0,16050000.0
BMW,520i m-sport pro,2024,Hybrid,seden/touring,5,,,58000000.0,,,
BMW,523i,2024,Petrol,sedan,5,,,62500000.0,,,
BMW,523i,2011,Petrol,sedan,5,,,,,14000000.0,
BMW,523i lci,2007,Petrol,seden,5,,,,,,14250000.0
BMW,523i m-sport,2023,Petrol,seden,5,,,59500000.0,,,
BMW,523i m5 kitted,2010,Petrol,seden,5,,,,,,15590000.0
BMW,528i f-10,2013,Petrol,seden,5,,,,17000000.0,,
BMW,530e,2018,Hybrid,sedan,5,,,,30000000.0,33000000.0,
BMW,530e g-30,2019,Hybrid,seden,5,,,,,,31900000.0
BMW,530e g-30,2018,Hybrid,seden,5,,,33750000.0,,,
BMW,530e m-sport,2025,Hybrid,seden,5,,,62000000.0,,,
