Manufacturer,Model,Year,Condition,Fuel Type,Price,Mileage,Average Price (0-20k km),Average Price (20k-50k km),Average Price (50k-100k km),Average Price (100k+ km)
Audi,Q7 3L Quattro 45 TFSI,2016.0,,Petrol,38500000,71000,,,38500000,
Audi,Q7 40TFSI Quattro,2016.0,,Petrol,32500000,95000,,,32500000,
Audi,Q7 Quattro,2016.0,,Petrol,35500000,95000,75000000,,36200000,25250000
Audi,A1,2015.0,,Petrol,11500000,62500,,,9966667,
Audi,Q5 Quattro,2015.0,,Petrol,22500000,87000,,,22500000,
Audi,Q7 40 TFSI quattro,2015.0,,Petrol,32000000,148000,,,,32000000
Audi,A7 3.0T Quattro,2014.0,,Petrol,28000000,82000,,,28000000,
Audi,A6 AWD,2013.0,,Petrol,16000000,138000,,,,16000000
Audi,Q3 2L,2013.0,,Petrol,14000000,121000,,,,14000000
Audi,A4,2012.0,,Petrol,12500000,71000,,,12500000,12500000
Audi,A4 B8.5 (Quattro),2012.0,,Petrol,13950000,62000,,,13950000,
Audi,A4 Premium,2012.0,,Petrol,13800000,87000,,,13800000,
Audi,A6,2012.0,,Petrol,13800000,110000,,,21500000,13800000
Audi,Q5 Quattro S Line TFSL,2012.0,,Petrol,16450000,87500,,,16450000,
Audi,Q7 Quattro,2011.0,,Petrol,19000000,137000,75000000,,36200000,25250000
Audi,A6 TFSI F/Loaded,2007.0,,Petrol,9275000,133000,,,,9275000
BAIC,,2017.0,,Petrol,6100000,70000,,,,
BMW,M760 Full spec 575Bhp,2025.0,,Petrol,155000000,0,155000000,,,
BMW,Mini Cooper C- Sport 5 Door,2025.0,,Petrol,28000000,1000,28000000,,,
BMW,X1,2025.0,,Petrol,41500000,0,41500000,,20333333,20500000
BMW,X1 ENHANCED PACKAGE,2025.0,NEW,Petrol,43850000,10,43850000,,,
BMW,X1 ENHANCED PACKAGE B/N,2025.0,,Petrol,43850000,10,43850000,,,
BMW,218i Gran M sport,2024.0,,Petrol,30750000,4000,30750000,,,
BMW,218i MSport Gran,2024.0,,Petrol,31500000,3000,31500000,,,
BMW,523i LUXURY LINE,2024.0,,Petrol,62500000,5000,62500000,,,
BMW,Mini Cooper C Classic,2024.0,,Petrol,20000000,5000,20000000,,,
BMW,X1 20i MHT M Sport,2024.0,,Petrol,38500000,15000,38500000,,,
BMW,X1 M SPORT,2024.0,,Petrol,38000000,0,38250000,,,
BMW,X1 X DRIVE 25E M SPORT,2024.0,,Petrol,43590000,0,43590000,,,
BMW,X7 M-SPORT,2024.0,,Petrol,137500000,0,137500000,,,
BMW,218i GRAN M Sport,2023.0,,Petrol,29500000,3270,29500000,,,
BMW,218i M Sport,2023.0,,Petrol,30000000,20000,30000000,30000000,,
BMW,523i M Sport,2023.0,,Petrol,59500000,11000,59500000,,,
BMW,318i,2020.0,,Petrol,21850000,89000,,22800000,21912500,21250000
BMW,X1 xLine -F48,2020.0,,Petrol,27950000,77300,,,27950000,
BMW,318i INDIVIDUAL M SPORT,2019.0,,Petrol,25975000,36000,,25975000,,
BMW,740Le LWB,2019.0,,Petrol,53500000,32000,,53500000,,
BMW,X1,2019.0,,Petrol,22000000,80000,41500000,,20333333,20500000
BMW,X1 Luxury Line -F48,2019.0,,Petrol,23000000,47450,,23000000,,
BMW,X1 M Sport,2019.0,,Petrol,24850000,7000,24850000,23000000,19800000,
BMW,X1 M Sport -F48,2019.0,,Petrol,24500000,68420,,,24500000,
BMW,X1 M-SPORT,2019.0,,Petrol,19500000,40000,,19500000,,
BMW,X1 S Drive,2019.0,,Petrol,23800000,66000,,,23800000,
BMW,X2 18I MSPORT,2019.0,,Petrol,24290000,77000,,,24290000,
BMW,218i Convertible -F23,2018.0,,Petrol,24500000,41200,,24500000,,
BMW,318i,2018.0,,Petrol,22800000,48000,,22800000,21912500,21250000
BMW,318i M SPORT,2018.0,,Petrol,22990000,45000,,22990000,20600000,
BMW,318i M Sport (F30),2018.0,,Petrol,22500000,97500,,,22500000,
BMW,318i M Sport Plus,2018.0,,Petrol,23500000,75000,,,23500000,
BMW,318i SHADOW HIGHEST GRADE,2018.0,,Petrol,24950000,50000,,24950000,24950000,
BMW,318i Shadow Edition,2018.0,,Petrol,23500000,130000,,26200000,,23000000
BMW,530e M-Sport,2018.0,,Petrol,33500000,40000,,33500000,,
BMW,530i M-SPORT (PETROL),2018.0,,Petrol,38500000,55000,,,38500000,
BMW,740Le LONGWHEEL FULLYLOAD,2018.0,,Petrol,42000000,75000,,,42000000,
BMW,740Le M- Sport LWB,2018.0,,Petrol,52500000,59000,,,52500000,
BMW,740Le M-Sport LWB,2018.0,,Petrol,53500000,39000,,53500000,,
BMW,740Le Msport,2018.0,,Petrol,46500000,54000,,,46500000,
BMW,X1,2018.0,,Petrol,18500000,62000,41500000,,20333333,20500000
BMW,X1 (Low Mileage),2018.0,,Petrol,19850000,34000,,19850000,,
BMW,X1 M Sport,2018.0,,Petrol,23000000,21000,24850000,23000000,19800000,
BMW,X1 S Drive F48,2018.0,,Petrol,18500000,89000,,,18500000,
BMW,X2 M Sport,2018.0,,Petrol,23500000,34000,,23500000,,
BMW,X2 X-line sunroof,2018.0,,Petrol,23000000,33000,,23000000,,
BMW,i8 Blue Belt Plug,2018.0,,Petrol,32700000,23000,,32700000,,
BMW,i8 M Sport 1ST ow,2018.0,,Petrol,32850000,20000,32850000,32850000,,
BMW,318i,2017.0,,Petrol,23000000,57000,,22800000,21912500,21250000
BMW,318i M SPORT,2017.0,,Petrol,20600000,77000,,22990000,20600000,
BMW,318i M-SPORT,2017.0,,Petrol,4000000,90000,,,4000000,
BMW,318i Sports Line,2017.0,,Petrol,21500000,65000,,,21500000,
