Manufacturer,Model,Year,Condition,Fuel Type,Price
Suzuki,Swift,2017,,Hybrid,"Rs 8,500,000"
Nissan,ROOX HIGHWAY STAR X Propilot,2024,,Hybrid,"Rs 8,650,000"
Toyota,Yaris Cross,2023,,Hybrid,"Rs 17,800,000"
Toyota,Raize Z Safety 4Way,2025,,Hybrid,"Rs 16,750,000"
Suzuki,Wagon R Custom Zx,2025,,Hybrid,"Rs 9,950,000"
Suzuki,Wagon R ZX Upgrade PKG,2024,,Hybrid,"Rs 9,250,000"
Suzuki,Wagon R FX Safety,2018,,Hybrid,"Rs 6,185,000"
Suzuki,XBee MZ,2024,,Hybrid,"Rs 11,800,000"
Suzuki,Wagon R FZ Safety,2015,,Hybrid,"Rs 6,150,000"
Suzuki,Wagon R ZX Custom,2023,,Hybrid,"Rs 9,150,000"
Honda,Vezel Z PKG,2024,,Hybrid,"Rs 19,600,000"
Toyota,Raize,2025,,Hybrid,"Rs 16,050,000"
Suzuki,Spacia XS Custom,2024,,Hybrid,"Rs 11,000,000"
Toyota,Aqua,2014,,Hybrid,"Rs 8,000,000"
Honda,Grace EX,2015,,Hybrid,"Rs 10,300,000"
Toyota,Raize Z Grade 1.2L,2025,,Hybrid,"Rs 16,000,000"
Toyota,Yaris CROSS Z,2025,,Hybrid,"Rs 18,350,000"
Suzuki,Spacia Custom XS,2024,,Hybrid,"Rs 10,750,000"
Toyota,Prius S Touring,2012,,Hybrid,"Rs 11,500,000"
Suzuki,Wagon R FZ,2018,,Hybrid,"Rs 7,390,001"
Honda,Vezel Z,2022,,Hybrid,"Rs 19,875,000"
Toyota,Aqua G grade,2013,,Hybrid,"Rs 7,850,000"
Honda,Vezel Z Play Moonroof,2025,,Hybrid,"Rs 24,500,000"
Toyota,Prius,2014,,Hybrid,"Rs 11,800,000"
Mitsubishi,Outlander PHEV Premium,2014,,Hybrid,"Rs 13,200,000"
Honda,Vezel Z,2025,,Hybrid,"Rs 21,000,000"
Toyota,Prius S Grade,2011,,Hybrid,"Rs 9,650,000"
Toyota,Prius S Touring,2013,,Hybrid,"Rs 12,675,000"
Land Rover,Jaecoo J7,2025,,Hybrid,"Rs 23,500,000"
Daihatsu,Rocky,2022,,Hybrid,"Rs 14,375,000"
Suzuki,Wagon R FX 4WAY/HUD/6 AIR,2024,,Hybrid,"Rs 8,775,000"
Toyota,Yaris,2025,,Hybrid,"Rs 22,500,000"
Honda,Vezel Z Grade Warranty,2024,,Hybrid,"Rs 19,850,000"
Toyota,Prius S Grade,2013,,Hybrid,"Rs 11,650,000"
Toyota,Alphard Executive Lounge,2024,,Hybrid,"Rs 69,500,000"
Toyota,Sienta,2025,,Hybrid,"Rs 18,975,000"
Toyota,Axio G Grade 161,2014,,Hybrid,"Rs 9,750,000"
Toyota,Aqua,2015,,Hybrid,"Rs 8,975,000"
Suzuki,Alto S Grade,2023,,Hybrid,"Rs 7,550,000"
Honda,Vezel Z Play,2025,,Hybrid,"Rs 22,250,000"
Honda,Fit,2013,,Hybrid,"Rs 7,500,000"
Toyota,Aqua,2012,,Hybrid,"Rs 7,175,000"
Suzuki,Wagon R Premium,2019,,Hybrid,"Rs 7,300,000"
Suzuki,Wagon R Stingray,2023,,Hybrid,"Rs 9,875,000"
Mitsubishi,Outlander,2015,,Hybrid,"Rs 14,950,000"
Suzuki,Swift RS Safety,2017,,Hybrid,"Rs 8,700,000"
Suzuki,Spacia Custom XS 4Way,2024,,Hybrid,"Rs 10,800,000"
Mitsubishi,Outlander,2016,,Hybrid,"Rs 18,450,000"
Honda,Vezel 2015 (Z Grade),,,Hybrid,"Rs 10,890,000"
Honda,Vezel Z Grade,2024,,Hybrid,"Rs 17,900,000"
Suzuki,Wagon R FZ,2014,,Hybrid,"Rs 6,170,000"
Toyota,Yaris Cross,2025,,Hybrid,"Rs 18,900,000"
Toyota,Aqua GS,2014,,Hybrid,"Rs 9,275,000"
Honda,Vezel Z Grade Orange inter,2014,,Hybrid,"Rs 10,250,000"
Toyota,Raize 1200 cc 4-way,2025,,Hybrid,"Rs 16,200,000"
Toyota,Camry 60th Anniversary,2013,,Hybrid,"Rs 16,250,000"
Mitsubishi,eK Wagon,2023,,Hybrid,"Rs 7,100,000"
Toyota,Corolla AXIO FIELDER,2022,,Hybrid,"Rs 15,600,000"
Toyota,Raize RS Modified,2024,,Hybrid,"Rs 16,500,000"
Honda,Vezel Z Package,2023,,Hybrid,"Rs 18,700,000"
Honda,Vezel Z Grade,2017,,Hybrid,"Rs 11,550,000"
Suzuki,Wagon R Custom ZX,2025,,Hybrid,"Rs 9,850,000"
Honda,Vezel RS,2017,,Hybrid,"Rs 13,500,000"
Honda,Grace EX Package,2017,,Hybrid,"Rs 10,750,000"
Honda,Grace,2015,,Hybrid,"Rs 10,500,000"
Honda,Grace Rs Sensing,2018,,Hybrid,"Rs 12,245,000"
Toyota,Aqua S Limited,2013,,Hybrid,"Rs 8,150,000"
Nissan,X-Trail Automatic,2015,,Hybrid,"Rs 11,000,000"
Toyota,Yaris Cross GR Sport,2023,,Hybrid,"Rs 17,500,000"
Honda,Vezel Z Brand,2025,New,Hybrid,"Rs 20,350,000"
Honda,Vezel -Z,2023,,Hybrid,"Rs 18,625,000"
Honda,Vezel Z GRADE BRAND,2025,NEW,Hybrid,"Rs 20,390,000"
Toyota,Yaris ATIV GR Sport HEV,2025,,Hybrid,"Rs 20,500,000"
Toyota,Axio G,2016,,Hybrid,"Rs 11,890,000"
Mercedes Benz,S300,2017,,Hybrid,"Rs 55,000,000"
Suzuki,Hustler,2023,,Hybrid,"Rs 7,750,000"
Toyota,Raize 1200 CC,2024,,Hybrid,"Rs 15,950,000"
Suzuki,Wagon R Stingray,2015,,Hybrid,"Rs 6,600,000"
Honda,Vezel Z Grade Orange Pack,2014,,Hybrid,"Rs 10,600,000"
Suzuki,Spacia custom SX,2024,,Hybrid,"Rs 11,150,000"
Suzuki,Wagon R ZT Custom,2023,,Hybrid,"Rs 9,800,000"
Suzuki,Spacia XS CUSTOM,2023,,Hybrid,"Rs 10,875,000"
Honda,Vezel X Hunt,2025,,Hybrid,"Rs 18,250,000"
Toyota,Prius 3rd Generation,2011,,Hybrid,"Rs 9,950,000"
Honda,Vezel X Grade,2025,,Hybrid,"Rs 18,500,000"
Toyota,Yaris Cross Adventure,2023,,Hybrid,"Rs 17,850,000"
Toyota,Raize Z 1.2cc,2024,,Hybrid,"Rs 16,175,000"
Toyota,Aqua S Limited,2014,,Hybrid,"Rs 8,270,000"
Honda,Vezel Z Play 10SP M/R 4WAY,2023,,Hybrid,"Rs 22,500,000"
Toyota,Axio WXB CBJ,2019,,Hybrid,"Rs 13,800,000"
Suzuki,Wagon R CUSTOM ZX,2025,,Hybrid,"Rs 9,850,000"
Honda,Vezel Z Ivory,2016,,Hybrid,"Rs 11,770,000"
Nissan,Dayz Highway Star,2023,,Hybrid,"Rs 8,675,000"
Nissan,ROOX HIGHWAY STAR X,2023,,Hybrid,"Rs 9,500,000"
Honda,Vezel RS SENSING LOW MILE,2017,,Hybrid,"Rs 13,790,000"
Honda,Vezel Z Premium,2023,,Hybrid,"Rs 19,500,000"
Toyota,Raize Z,2024,,Hybrid,"Rs 15,200,000"
Mitsubishi,eK Space,2023,,Hybrid,"Rs 9,300,000"
Suzuki,Spacia XS Custom Black Top,2024,,Hybrid,"Rs 10,790,000"
Honda,Fit GP 5 Highest Grade,2014,,Hybrid,"Rs 8,600,000"
Suzuki,Spacia Costom,2018,,Hybrid,"Rs 8,850,000"
Toyota,Aqua S Grade,2013,,Hybrid,"Rs 8,050,000"
Honda,Grace Ex Package,2015,,Hybrid,"Rs 10,550,000"
Suzuki,Wagon R FX -S,2025,,Hybrid,"Rs 8,150,000"
Mitsubishi,EK X G Premium,2024,,Hybrid,"Rs 8,500,000"
Toyota,Yaris Ativ GR Sport,2025,,Hybrid,"Rs 18,200,000"
Toyota,Aqua X,2024,,Hybrid,"Rs 12,700,000"
Toyota,Prius,2025,,Hybrid,"Rs 24,000,000"
Suzuki,Wagon R FZ Premium,2018,,Hybrid,"Rs 7,500,000"
BMW,X5 eDrive,2016,,Hybrid,"Rs 28,500,000"
Suzuki,XBee MZ Highest Safety Un,2023,,Hybrid,"Rs 10,725,000"
Suzuki,Spacia CUSTOM XS,2024,,Hybrid,"Rs 10,600,000"
Honda,Vezel Z NAVI PREMIUM,2025,,Hybrid,"Rs 21,000,000"
,,,,,"Rs 20,500,000"
Honda,Vezel Z Gread Zero millage,2025,,Hybrid,"Rs 19,900,000"
Toyota,Raize Z Grade,2022,,Hybrid,"Rs 14,500,000"
Honda,Vezel Z Grade Orange,2015,,Hybrid,"Rs 10,675,000"
Toyota,Raize Z Premium,2025,,Hybrid,"Rs 16,400,000"
Toyota,Axio G Grade,2014,,Hybrid,"Rs 10,250,000"
Toyota,Aqua Z Grade AERO Style,2023,,Hybrid,"Rs 15,990,000"
Toyota,Raize Z BLACK TOP,2024,,Hybrid,"Rs 16,690,000"
Toyota,Prius 4th Generation,2017,,Hybrid,"Rs 16,500,000"
Toyota,Prius 3rd Generation,2012,,Hybrid,"Rs 12,250,000"
Honda,Fit GP5,2014,,Hybrid,"Rs 8,000,000"
Lexus,RX450h,2009,,Hybrid,"Rs 16,000,000"
Toyota,Yaris Cross Z,2023,,Hybrid,"Rs 17,500,000"
Land Rover,Range Autobiography SWB,2018,,Hybrid,"Rs 62,000,000"
Toyota,Aqua S Limited,2012,,Hybrid,"Rs 7,875,000"
