Manufacturer,Model,Year,Condition,Fuel Type,Price
Nissan,Leaf Visia,2014,,Electric,"Rs 5,500,000"
Tesla,Model 3 Premium,2024,,Electric,"Rs 46,500,000"
Volkswagen,ID 5 | Pro,2023,,Electric,"Rs 36,500,000"
Car,OG V7,2020,,Electric,"Rs 4,300,000"
MG,MG4 X Highest Trim,2023,,Electric,"Rs 15,500,000"
Tesla,Model S,2016,,Electric,"Rs 35,000,000"
Tesla,Model 3 V8,2024,,Electric,"Rs 34,000,000"
BMW,X5 eDrive,2017,,Electric,"Rs 31,000,000"
Ford,Mustang Mach- E,2024,,Electric,"Rs 62,500,000"
Ford,Mustang Mach-E,2024,,Electric,"Rs 69,500,000"
Audi,Q4 Etron 40,2024,,Electric,"Rs 37,950,000"
Hyundai,Creta Premium,2025,,Electric,"Rs 17,200,000"
Volkswagen,ID-4 STYLISH Pure,2023,,Electric,"Rs 26,500,000"
Volkswagen,ID 4 PRO,2023,,Electric,"Rs 25,900,001"
Mahindra,e2o,2021,,Electric,"Rs 2,750,000"
MG,EP PLUS,2023,,Electric,"Rs 13,500,000"
Nissan,Leaf AZE0 X Grade,2013,,Electric,"Rs 6,800,000"
Audi,Q4 40 Etron,2023,,Electric,"Rs 36,000,000"
Nissan,Sakura X,2024,,Electric,"Rs 7,690,000"
