Manufacturer,Model,Year,Condition,Fuel Type,Price
Toyota,Yaris G Led Package,2023,,Petrol,"Rs 12,575,000"
Toyota,Tank,2017,,Petrol,"Rs 8,600,000"
Toyota,Prius 2012 S,,,Petrol,"Rs 9,375,000"
MG,ZS,2019,,Petrol,"Rs 11,325,000"
Toyota,Avanza G Grade,2011,,Petrol,"Rs 6,790,000"
Toyota,Raize G,2023,,Petrol,"Rs 12,975,000"
Daihatsu,Mira Safety L,2024,,Petrol,"Rs 7,000,000"
Honda,CRV,2017,,Petrol,"Rs 17,750,000"
Daihatsu,Taft G Chrome Venture,2023,,Petrol,"Rs 8,690,000"
Suzuki,Wagon R Stingray,2015,,Petrol,"Rs 6,250,000"
Suzuki,Wagon R ZX,2024,,Petrol,"Rs 9,950,000"
Toyota,Roomy Custom G,2024,,Petrol,"Rs 11,950,000"
MG,ZS,2021,,Petrol,"Rs 10,700,000"
Audi,A3 TFSI UK Spec,2023,,Petrol,"Rs 21,800,000"
Audi,Q2 TFSI Anniversary,2018,,Petrol,"Rs 14,850,000"
Audi,A3 30 TFSI Premium,2023,,Petrol,"Rs 23,500,000"
Suzuki,Celerio,2015,,Petrol,"Rs 4,985,000"
Suzuki,Celerio,2016,,Petrol,"Rs 5,985,000"
Nissan,Sunny N16 SUPER SALOON,2001,,Petrol,"Rs 4,690,000"
Land Rover,Range VOGUE Autobiography,2019,,Petrol,"Rs 68,500,000"
Toyota,Vitz Edition 2 1st,2019,,Petrol,"Rs 8,675,000"
Kia,Rio,2002,,Petrol,"Rs 2,600,000"
Daihatsu,Taft G Dark Chrome,2024,,Petrol,"Rs 9,700,000"
Daihatsu,Mira ES SAFETY,2023,,Petrol,"Rs 7,190,000"
Toyota,Vitz KSP 130,2014,,Petrol,"Rs 8,000,000"
Hyundai,Accent,2001,,Petrol,"Rs 2,850,000"
Toyota,Raize Z Grade 1.2L,2024,,Petrol,"Rs 16,275,000"
Suzuki,Estilo,2012,,Petrol,"Rs 4,000,000"
Hyundai,Sonata,2000,,Petrol,"Rs 2,750,000"
Toyota,Roomy G Dual Power Door,2023,,Petrol,"Rs 9,750,000"
Toyota,Premio G Superior,2013,,Petrol,"Rs 11,850,000"
Nissan,Primera P11,1998,,Petrol,"Rs 3,750,000"
Datsun,Redi Go,2016,,Petrol,"Rs 3,400,000"
Toyota,Roomy G,2024,,Petrol,"Rs 10,550,000"
Toyota,Axio,2016,,Petrol,"Rs 10,700,000"
Micro,Panda LC 10,2015,,Petrol,"Rs 3,325,000"
Audi,A3 Sportsback,2023,,Petrol,"Rs 18,000,000"
Daihatsu,Taft G Dark Chrom,2023,,Petrol,"Rs 9,550,000"
Audi,Q2 Sunroof,2018,,Petrol,"Rs 14,800,000"
Toyota,Vitz Edition 3,2019,,Petrol,"Rs 9,500,000"
Jeep,Wrangler Rubicon,2024,,Petrol,"Rs 59,590,000"
Honda,Vezel,2014,,Petrol,"Rs 10,500,000"
Audi,A5 S Line Cabriolet,2018,,Petrol,"Rs 35,000,000"
Mercedes Benz,E200 AMG Line,2022,,Petrol,"Rs 41,000,000"
Honda,Vezel Z Play 10SP MR,2024,,Petrol,"Rs 23,190,000"
Toyota,Land Cruiser Sahara zx,2025,,Petrol,"Rs 99,500,000"
Suzuki,Alto L-Grade,2024,,Petrol,"Rs 7,250,000"
Honda,Vezel Rs,2017,,Petrol,"Rs 14,000,000"
Toyota,Land Cruiser Prado 250 1st Edition,2024,,Petrol,"Rs 67,000,000"
Mercedes Benz,C200 Premium Plus AMG,2019,,Petrol,"Rs 29,700,000"
Zotye,Z100,2020,,Petrol,"Rs 3,595,000"
Mercedes Benz,E350 E350e,2017,,Petrol,"Rs 31,000,000"
Toyota,Raize Z Grade,2023,,Petrol,"Rs 14,200,000"
Toyota,Allion,2008,,Petrol,"Rs 9,650,000"
Suzuki,Baleno,2017,,Petrol,"Rs 6,950,000"
Toyota,Vitz 2008/2011 ksp 90,2008,,Petrol,"Rs 5,200,000"
Daihatsu,Taft Sun Roof G,2023,,Petrol,"Rs 8,900,000"
Daihatsu,Taft,2025,,Petrol,"Rs 9,600,000"
Toyota,Raize Z 1.0L,2020,,Petrol,"Rs 12,300,000"
Toyota,Yaris X Grade Un/Re,2023,,Petrol,"Rs 9,675,000"
Toyota,Corolla WXB,2023,,Petrol,"Rs 18,450,000"
Suzuki,Celerio ZXI,2017,,Petrol,"Rs 5,790,000"
Toyota,CHR GT,2017,,Petrol,"Rs 14,000,000"
Daihatsu,Taft Sun Roof,2024,,Petrol,"Rs 8,800,000"
Suzuki,Vitara 1.0L UK,2019,,Petrol,"Rs 11,900,000"
Daihatsu,Taft G Chrome venture,2025,,Petrol,"Rs 8,995,000"
Toyota,Yaris X Grade Un/Re,2022,,Petrol,"Rs 9,500,000"
Toyota,Allion G,2016,,Petrol,"Rs 14,850,000"
Toyota,Raize Z 1.2L,2024,,Petrol,"Rs 14,900,000"
Suzuki,Vitara,2019,,Petrol,"Rs 11,800,000"
Toyota,Axio G Grade 2015,,,Petrol,"Rs 12,000,000"
Audi,A3 Sportback Premium,2024,,Petrol,"Rs 20,200,000"
Toyota,Aqua,2013,,Petrol,"Rs 8,975,000"
Toyota,Vitz Push Start,2016,,Petrol,"Rs 8,260,000"
Toyota,Land Cruiser Prado TX,2015,,Petrol,"Rs 41,000,000"
Toyota,Roomy Unregister,2022,,Petrol,"Rs 9,800,000"
Toyota,Corolla 121 LX Limited,2006,,Petrol,"Rs 6,900,000"
Mitsubishi,Xpander,2020,,Petrol,"Rs 15,700,000"
Daihatsu,Mira,2024,,Petrol,"Rs 8,150,000"
Peugeot,3008,2019,,Petrol,"Rs 17,000,000"
Toyota,CHR,2017,,Petrol,"Rs 12,900,000"
Suzuki,Hustler,2016,,Petrol,"Rs 6,395,000"
Daihatsu,Taft G Dark Chrom,2024,,Petrol,"Rs 8,995,000"
Kia,"Picanto LOW MILEAGE 39,000km",2016,,Petrol,"Rs 6,250,000"
Kia,Picanto,2019,,Petrol,"Rs 6,790,000"
Toyota,Land Cruiser Prado 250,2025,,Petrol,"Rs 66,500,000"
Suzuki,Alto S Grade,2025,,Petrol,"Rs 6,750,000"
Toyota,Land Cruiser Prado TX-150,2015,,Petrol,"Rs 39,000,000"
Daihatsu,Tanto Unregister,2023,,Petrol,"Rs 7,700,000"
Land Rover,Range Sport,2018,,Petrol,"Rs 57,500,000"
Honda,N-Box COUSTOM,2022,,Petrol,"Rs 7,975,000"
Toyota,Yaris X Push Start Safety,2022,,Petrol,"Rs 9,475,000"
Daihatsu,Taft X,2024,,Petrol,"Rs 8,850,000"
Suzuki,Every PA,2023,,Petrol,"Rs 6,990,000"
Audi,A3,2023,,Petrol,"Rs 25,500,000"
Toyota,Raize Z Grade,2020,,Petrol,"Rs 13,000,000"
Daihatsu,Mira X SA 3,2024,,Petrol,"Rs 7,200,000"
Honda,N-Box N BOX -,2025,,Petrol,"Rs 9,775,000"
Nissan,Dayz S Grade,2023,,Petrol,"Rs 6,890,000"
Toyota,Raize,2023,,Petrol,"Rs 13,000,000"
Toyota,Crown Majesta,2007,,Petrol,"Rs 15,000,000"
Nissan,March,1996,,Petrol,"Rs 2,800,000"
Nissan,Sunny,1977,,Petrol,"Rs 640,000"
DFSK,580,2021,,Petrol,"Rs 9,400,000"
Toyota,Premio G Superior,2018,,Petrol,"Rs 17,400,000"
Suzuki,Wagon R FX SAFETY UNREGISTED,2023,,Petrol,"Rs 7,690,000"
Toyota,Axio,2008,,Petrol,"Rs 7,600,000"
Chery,QQ3,2007,,Petrol,"Rs 1,585,000"
Ford,Raptor Ranger,2025,,Petrol,"Rs 37,900,000"
Honda,Vezel Z Play,2023,,Petrol,"Rs 22,100,000"
Nissan,Dayz X Grade,2023,,Petrol,"Rs 8,050,000"
Toyota,Yaris X Grade Safety,2023,,Petrol,"Rs 10,450,000"
Mercedes Benz,E200 AMG,2019,,Petrol,"Rs 33,500,000"
Suzuki,Jimny,2020,,Petrol,"Rs 6,950,000"
Honda,Vezel Z Play,2024,,Petrol,"Rs 23,400,000"
Suzuki,Baleno Highest Grade,2020,,Petrol,"Rs 8,900,000"
Mitsubishi,Xpander 1.5L Engine,2018,,Petrol,"Rs 13,700,000"
Kia,Picanto,2017,,Petrol,"Rs 6,800,000"
Toyota,CHR GT Bruno Neuro PKG,2023,,Petrol,"Rs 18,450,000"
Toyota,Land Cruiser Prado TRJ150 TXL GR Sport,2011,,Petrol,"Rs 32,500,000"
Toyota,Roomy custom GT,2025,,Petrol,"Rs 13,600,000"
Toyota,Allion 260G,2017,,Petrol,"Rs 16,400,000"
Audi,Q7 Quattro,2017,,Petrol,"Rs 37,500,000"
Honda,City RS,2025,,Petrol,"Rs 15,250,000"
Toyota,Aqua,2014,,Petrol,"Rs 8,200,000"
Toyota,Corolla NZE 121,2004,,Petrol,"Rs 6,975,000"
Toyota,Yaris Ativ Premium,2025,,Petrol,"Rs 17,950,000"
BMW,530e M Sport,2017,,Petrol,"Rs 30,000,000"
Tata,Indica,2005,,Petrol,"Rs 1,795,000"
Audi,A4 2.0L 40TFSI,2016,,Petrol,"Rs 18,800,000"
Nissan,Almera VL 2025 BN,,,Petrol,"Rs 14,100,000"
Toyota,Yaris X,2025,,Petrol,"Rs 11,625,000"
Mitsubishi,4DR,1979,,Petrol,"Rs 1,200,000"
Toyota,IST 1500,2007,,Petrol,"Rs 6,490,000"
Suzuki,Swift KEI,2008,,Petrol,"Rs 4,990,000"
Toyota,Yaris 1300 cc,2008,,Petrol,"Rs 6,990,000"
Toyota,Raize Z GRADE 1.2L JAPAN,2024,,Petrol,"Rs 16,650,000"
Audi,Q2 TFSI,2017,,Petrol,"Rs 16,990,000"
Toyota,Raize Z Grade,2024,,Petrol,"Rs 13,750,000"
Suzuki,Alto,2015,,Petrol,"Rs 4,100,000"
Kia,Sportage,2011,,Petrol,"Rs 9,175,000"
Kia,Stonic,2019,,Petrol,"Rs 10,500,000"
Toyota,Land Cruiser Sahara LC300,2025,,Petrol,"Rs 107,500,000"
Toyota,Premio 260,2013,,Petrol,"Rs 12,850,000"
Suzuki,Hustler S-eNe Charge,2018,,Petrol,"Rs 6,575,000"
Daihatsu,Taft,2023,,Petrol,"Rs 9,450,000"
Mini Cooper,,1969,,Petrol,"Rs 4,000,000"
Toyota,Land Cruiser Prado 250 VX,2024,,Petrol,"Rs 64,000,000"
Suzuki,Carry Truck,2023,,Petrol,"Rs 5,900,000"
Toyota,Harrier 240,2004,,Petrol,"Rs 10,500,000"
Nissan,Sunny,2001,,Petrol,"Rs 4,550,000"
Mercedes Benz,C180 AMG,2019,,Petrol,"Rs 24,500,000"
Mercedes Benz,E350 AMG Premium Plus,2017,,Petrol,"Rs 29,500,000"
Toyota,IST,2007,,Petrol,"Rs 7,650,000"
Suzuki,XBee MV,2023,,Petrol,"Rs 11,900,000"
Toyota,Aqua Grade S,2012,,Petrol,"Rs 7,500,000"
Suzuki,Celerio,2014,,Petrol,"Rs 5,450,000"
Toyota,Raize Z GRADE,2024,,Petrol,"Rs 14,650,000"
Toyota,Pixis,2016,,Petrol,"Rs 6,990,000"
Volkswagen,Golf GT Line Convertible,2011,,Petrol,"Rs 6,350,000"
Toyota,Land Cruiser Sahara V8 LC300 Face lifted,2015,,Petrol,"Rs 59,500,000"
Toyota,Vitz,2018,,Petrol,"Rs 9,000,000"
Honda,CRV VTi-L,2019,,Petrol,"Rs 22,500,000"
Toyota,Vitz DBA KSP130VITZ,2017,,Petrol,"Rs 8,700,000"
Toyota,Raize,2022,,Petrol,"Rs 12,975,000"
Mercedes Benz,E300 AMG,2018,,Petrol,"Rs 37,500,000"
Suzuki,Alto L Grade,2024,,Petrol,"Rs 7,300,000"
Honda,Vezel X Grade,2023,,Petrol,"Rs 17,000,000"
Suzuki,Wagon R Stingray,2018,,Petrol,"Rs 8,600,000"
Honda,City RS,2024,,Petrol,"Rs 14,000,000"
Nissan,Sunny B211,1977,,Petrol,"Rs 1,190,000"
